pir_reading_id,device_id,motion,flag,measured_at,received_at,raw_payload
26578,3,True,ok,2026-09-03T14:14:27.066671+00:00,2026-09-03T14:14:27.154818+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26579,3,False,ok,2026-09-03T14:14:28.078618+00:00,2026-09-03T14:14:28.245936+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26580,3,False,ok,2026-09-03T14:14:29.092968+00:00,2026-09-03T14:14:29.229941+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26581,3,False,ok,2026-09-03T14:14:30.104340+00:00,2026-09-03T14:14:30.275241+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26582,3,False,ok,2026-09-03T14:14:31.162763+00:00,2026-09-03T14:14:31.341697+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26583,3,False,ok,2026-09-03T14:14:32.128742+00:00,2026-09-03T14:14:32.240683+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26584,3,False,ok,2026-09-03T14:14:33.138713+00:00,2026-09-03T14:14:33.255502+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26585,3,False,ok,2026-09-03T14:14:34.151378+00:00,2026-09-03T14:14:34.371681+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26586,3,False,ok,2026-09-03T14:14:35.164460+00:00,2026-09-03T14:14:35.359990+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26587,3,False,ok,2026-09-03T14:14:36.313732+00:00,2026-09-03T14:14:36.515717+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26588,3,False,ok,2026-09-03T14:14:37.188435+00:00,2026-09-03T14:14:37.274655+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26589,3,False,ok,2026-09-03T14:14:38.198969+00:00,2026-09-03T14:14:38.380308+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26590,3,False,ok,2026-09-03T14:14:39.210729+00:00,2026-09-03T14:14:39.395494+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26591,3,True,ok,2026-09-03T14:14:40.224340+00:00,2026-09-03T14:14:40.429968+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26592,3,False,ok,2026-09-03T14:14:41.278036+00:00,2026-09-03T14:14:41.494565+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26593,3,False,ok,2026-09-03T14:14:42.253609+00:00,2026-09-03T14:14:42.355153+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26594,3,False,ok,2026-09-03T14:14:43.260730+00:00,2026-09-03T14:14:43.494671+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26595,3,True,ok,2026-09-03T14:14:44.272743+00:00,2026-09-03T14:14:44.479750+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26596,3,False,ok,2026-09-03T14:14:45.282875+00:00,2026-09-03T14:14:45.380134+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26597,3,False,ok,2026-09-03T14:14:46.294762+00:00,2026-09-03T14:14:46.384653+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26598,3,False,ok,2026-09-03T14:14:47.306809+00:00,2026-09-03T14:14:47.394857+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26599,3,False,ok,2026-09-03T14:14:48.318785+00:00,2026-09-03T14:14:48.514779+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26600,3,False,ok,2026-09-03T14:14:49.332574+00:00,2026-09-03T14:14:49.524571+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26601,3,False,ok,2026-09-03T14:14:50.342839+00:00,2026-09-03T14:14:50.489831+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26602,3,False,ok,2026-09-03T14:14:51.356375+00:00,2026-09-03T14:14:51.464711+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26603,3,False,ok,2026-09-03T14:14:52.366904+00:00,2026-09-03T14:14:52.460199+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26604,3,True,ok,2026-09-03T14:14:53.378968+00:00,2026-09-03T14:14:53.580249+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26605,3,False,ok,2026-09-03T14:14:54.390949+00:00,2026-09-03T14:14:54.589977+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
